N,Name,NameTrimmed,Parent,VTAddr,Size,ID,VTSize,CtorName
302,        CTaskComplexSeekEntityAiming,CTaskComplexSeekEntityAiming,CTaskComplex,0x870C94,0x18,0x3A5,0x2C,_ZN28CTaskComplexSeekEntityAimingC2EP7CEntityff
303,        CTaskComplexFollowPedFootsteps,CTaskComplexFollowPedFootsteps,CTaskComplex,0x870CC0,0x20,0x3A8,0x30,_ZN30CTaskComplexFollowPedFootstepsC2EP4CPed
304,        CTaskComplexSeekEntityAnyMeans<CEntitySeekPosCalculatorXYOffset>,CTaskComplexSeekEntityAnyMeans<CEntitySeekPosCalculatorXYOffset>,CTaskComplex,0x870CF0,0x34,0x39A,0x2C,
305,        CTaskComplexInvestigateDeadPed,CTaskComplexInvestigateDeadPed,CTaskComplex,0x870D3C,0x3C,0x258,0x2C,_ZN30CTaskComplexInvestigateDeadPedC2EP4CPed
306,        CTaskComplexReactToGunAimedAt,CTaskComplexReactToGunAimedAt,CTaskComplex,0x870D78,0x1C,0x259,0x2C,_ZN29CTaskComplexReactToGunAimedAtC2EP4CPed
307,        CTaskComplexWaitForBackup,CTaskComplexWaitForBackup,CTaskComplex,0x870DA4,0x24,0x25A,0x2C,_ZN25CTaskComplexWaitForBackupC2EP4CPedS1_f
308,        CTaskComplexExtinguishFires,CTaskComplexExtinguishFires,CTaskComplex,0x870DD0,0x10,0x25C,0x2C,_ZN27CTaskComplexExtinguishFiresC2Ev
309,        CTaskComplexLeaveAnyCar,CTaskComplexLeaveAnyCar,CTaskComplex,0x858EB0,0x14,0x2CA,0x2C,
310,        CTaskComplexSeekEntity<CEntitySeekPosCalculatorStandard>,CTaskComplexSeekEntity<CEntitySeekPosCalculatorStandard>,CTaskComplex,0x859DF8,0x4C,0x38B,0x2C,
311,        CTaskComplexSeekEntity<CEntitySeekPosCalculatorRadiusAngleOffset>,CTaskComplexSeekEntity<CEntitySeekPosCalculatorRadiusAngleOffset>,CTaskComplex,0x85A388,0x54,0x38B,0x2C,
312,        CTaskComplexBeStill,CTaskComplexBeStill,CTaskComplex,0x86C7BC,0x0C,0x112,0x2C,
313,        CTaskComplexGoPickUpEntity,CTaskComplexGoPickUpEntity,CTaskComplex,0x870B98,0x34,0x136,0x2C,_ZN26CTaskComplexGoPickUpEntityC2EP7CEntity12AssocGroupId
314,        CTaskComplexReactToAttack,CTaskComplexReactToAttack,CTaskComplex,0x86D868,0x24,0x3EE,0x2C,_ZN25CTaskComplexReactToAttackC2E11eWeaponTypeP7CEntityfi14ePedPieceTypes
